name,brand,price,ratings,specs_score,os,processor,ram,storage,graphics,screen_size,resoultion,cores,threads,warranty,image_url
Lenovo IdeaPad Slim 3 83K100CJIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Lenovo,67990.0,4.2,55.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB LPDDR5 RAM,512 GB SSD,Integrated Intel UHD Graphics,15.28 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-i1fsJnGQg-w280-h280/lenovo-ideapad-slim.webp
Asus Vivobook 14 S3407CA-LY084WS Laptop (Intel Core Ultra 7 255H/ 16GB/ 512GB SSD/ Win11),Asus,82990.0,4.55,68.0,Windows 11 OS,Intel Core Ultra 7 255H,16 GB DDR5 RAM,512 GB SSD,Intel Integrated Intel,14 inches,1920 x 1200 pixels,16 Cores (6P + 8E + 2LP-E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iNaorM7Pv-w280-h280/asus-vivobook-14-s34.webp
Acer Aspire Lite AL15-52H Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Acer,36541.0,4.75,56.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-al1.webp
HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP,65990.0,4.1,72.0,Windows 11 OS,8th Gen AMD Ryzen 5 8645HS,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ifsyyr3XR-w280-h280/hp-victus-15-fb3012a.webp
Apple MacBook Air 2022 Laptop (Apple M2/ 16GB/ 256GB SSD/ MacOS),Apple,66990.0,4.15,,Mac OS,Apple M2,16 GB Unified Memory RAM,256 GB SSD,10-Core GPU,13.6 inches,2560 x 1664 pixels,Octa Core,,1 Year Warranty,https://cdn1.smartprix.com/rx-iD0cxZkFL-w280-h280/apple-macbook-air-20.webp
Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,35490.0,4.35,61.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,16 GB DDR5 RAM,512 GB SSD,Integrated AMD Radeon 610M Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iRe7ozJWD-w280-h280/lenovo-v15-g4-82c700.webp
Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),Acer,29990.0,4.4,56.0,Windows 11 OS,12th Gen Intel Core i3 1215U,16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ipav8pOjT-w280-h280/acer-aspire-lite-15.webp
Lenovo LOQ 83JE00U7IN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 5050),Lenovo,115015.0,4.0,78.0,Windows 11 OS,14th Gen Intel Core i7 14700HX,16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,15.6 inches,1920 x 1080 pixels,20 Cores (8P + 12E), 28 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ix6vu2DKH-w280-h280/lenovo-loq-83je00u7i.webp
Lenovo ThinkBook 16 21MWA0AUIN Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win 11),Lenovo,47966.0,4.0,66.0,Windows 11 OS,7th Gen AMD Ryzen 7 7735HS,16 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,16 inches,1920 x 1200 pixels,Octa Core, 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-ieJzDu0qc-w280-h280/lenovo-thinkbook-16.webp
Ultimus APEX Pro NU14U8INB43SN-CS Laptop (Celeron N4020/ 4GB/ 128GB EMMC/ Win11 Home),Ultimus,11990.0,4.45,,Windows 11 OS,12th Gen Intel Celeron Quad Core N4200,4 GB DDR4 RAM,128 GB SSD,Intel Integrated,14.1 inches,1366 x 768 pixels,Quad Core, 4 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-igT4Ajfx4-w280-h280/ultimus-apex-pro-nu1.webp
Acer Aspire 7 A715-79G UN.34PSI.001 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Acer,54990.0,4.7,64.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iizWzm3cu-w280-h280/acer-aspire-7-a715-7.webp
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple,91990.0,4.75,,Mac OS,Apple M4,16 GB  RAM,256 GB SSD,Apple 8 Core GPU,13.6 inches,2560 x 1664 pixels,10 Cores (4P + 6E),,1 Year Warranty,https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp
HP 15-fc1004AU Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home),HP,39990.0,4.5,61.0,Windows 11 OS,7th Gen AMD Ryzen 5 7535HS,8 GB DDR5 RAM,512 GB SSD,AMD Radeon AMD,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iUMIJg1DR-w280-h280/hp-15-fc1004au-lapto.webp
HP Victus 15-fa2382TX Gaming Laptop (14th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX4050),HP,86990.0,4.65,71.0,Windows 11 OS,14th Gen Intel Core i5 14450HX,24 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-isKM27Yv7-w280-h280/hp-victus-15-fa2382t.webp
Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo,72990.0,4.15,66.0,Windows 11 OS,12th Gen Intel Core i5 12450HX,16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuprVsTCG-w280-h280/lenovo-loq-2024-83gs.webp
Gigabyte G6 KF-H3IN893KH Gaming Laptop (13th Gen Core i7/ 16GB RAM/ 512GB SSD/ Win 11/ 8GB Graphics),Gigabyte,76990.0,4.3,69.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,16 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-ilgoqd9S1-w280-h280/gigabyte-g6-kf-h3in8.webp
HP Omen 16-ae0003TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4070 Graph),HP,127990.0,4.2,,Windows 11 OS,14th Gen Intel Core i7 14700HX,24 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,16 inches,1920 x 1200 pixels,20 Cores (8P + 12E), 28 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iSi4Wm4lv-w280-h280/hp-omen-16-ae0003tx.webp
HP Victus 15-fb3004AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,58990.0,4.35,70.0,Windows 11 OS,8th Gen AMD Ryzen 5 8645HS,16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-iuLhIxRDo-w280-h280/hp-victus-15-fb3004a.webp
Asus Expertbook P1 14 P1403CVA-S60938WS Laptop (13th Gen Core i3/ 16GB/ 512GB/ Win11),Asus,38990.0,4.75,60.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,14 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,1 Year Warranty,https://cdn1.smartprix.com/rx-igmHFinXw-w280-h280/asus-expertbook-p1-1.webp
Gigabyte G5 MF5-H2IN354SH Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Gigabyte,71399.0,4.65,73.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,2 Year Warranty,https://cdn1.smartprix.com/rx-iTpqBHD26-w280-h280/gigabyte-g5-mf5-h2in.webp
Dell 14 Inspiron 5440 Laptop (Intel Core 3 100U / 16GB/ 512GB SSD/ Win11),Dell,37890.0,4.5,50.0,1 Year Warranty,Intel Core i3 100U,16 GB DDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,,Hexa Core (2P + 4E), 8 Threads,2 USB 3.0 Ports,https://cdn1.smartprix.com/rx-iVkFHmCwt-w280-h280/dell-14-inspiron-544.webp
